F5SPECS,C1FMOTOR,C4R4RSCL,C4R4MSCL,P4ATTENI,P4SOLVE,P4SADLON,T4EXTERN,T4INTERN,GENDER,WKWHITE,WKSESL
NA,8,87.32,96.04,1,1,1.25,1,1.25,2,1,1.49
2,6,155.63,76.33,2,1,1.75,1,1.25,2,1,1.56
-9,5,NA,NA,1,2,1.75,NA,NA,2,1,1.61
2,2,85.32,79.47,2,2,2,1.8,2,1,1,1.04
1,7,87.74,64.08,2,1,1.75,1.4,1.75,2,1,1.99
2,6,55.64,45.41,2,1,1.75,NA,NA,1,1,1.55
-9,6,59.83,38.54,3,2,1.5,NA,NA,1,1,0.62
-9,8,NA,NA,1,1,1,NA,NA,2,1,2.25
2,6,73.21,45.47,2,2,2,1.6,1.5,1,1,-0.21
2,6,70.18,61.06,3,2,2,1,2.25,2,1,1.41
2,7,127.92,100.46,1,1,1.5,1.4,1.25,2,1,1.08
2,9,125.74,112.37,1,1,1.5,1.2,1.75,1,1,2.26
-9,6,101.55,73.09,2,1,2,NA,NA,1,1,0.43
-9,7,NA,NA,2,1,2.5,NA,NA,1,1,1.61
NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,-0.74
2,7,85.82,68.88,1,1,1.5,1.2,1.5,1,1,-2.93
2,5,66.48,66.84,2,2,2,2,2.75,2,1,0.54
1,2,58.56,63.66,2,2,1.25,1.8,1.75,2,1,-1.1
2,5,73.6,56.75,1,1,2,1.2,2.5,2,1,-0.93
NA,8,NA,NA,NA,NA,NA,NA,NA,2,1,-0.62
2,7,71.11,43.55,2,2,1.5,3,2.5,2,1,0.15
NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,-0.67
1,6,58.38,48.38,3,2,2,2,3,1,1,-0.24
2,6,49.24,48.84,1,2,1.5,1,1.5,1,1,-0.19
2,3,52.84,53.35,2,2,2,1.6,2,2,1,-0.36
NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,-0.74
NA,2,46.71,33.66,2,2,1.25,1.6,2,1,1,-0.48
NA,8,NA,NA,NA,NA,NA,NA,NA,2,1,-0.47
NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,-0.83
NA,7,NA,NA,NA,NA,NA,NA,NA,2,1,-0.41
2,5,65.94,58.74,2,2,1.25,1.4,2,2,1,-0.23
2,8,66.98,76.49,2,2,2,2,2,1,1,-0.12
NA,6,85.76,58.9,NA,NA,NA,2.2,1.75,1,1,-0.64
NA,8,59.63,61.21,2,2,1.75,2,1.25,2,1,-0.65
2,5,149.83,93.95,2,1,1.75,1,1.75,2,1,-0.55
NA,6,57.85,66.35,1,2,1,2,2,1,1,0.07
2,6,68.2,54.54,2,2,2.5,1.8,1.67,2,1,-0.43
NA,5,NA,NA,NA,NA,NA,NA,NA,1,2,-0.54
