Special_Education,Fine_Motor_Skill,Reading_Score,Math_Score,Attention_level,Problem_Solving,SadLonely,Externalizing,Internalizing,Gender,White,SES
0.0,6.0,155.63,76.33,2.0,1.0,1.75,1.0,1.25,2.0,1.0,1.56
0.0,2.0,85.32,79.47,2.0,2.0,2.0,1.8,2.0,1.0,1.0,1.04
1.0,7.0,87.74,64.08,2.0,1.0,1.75,1.4,1.75,2.0,1.0,1.99
0.0,6.0,73.21,45.47,2.0,2.0,2.0,1.6,1.5,1.0,1.0,-0.21
0.0,6.0,70.18,61.06,3.0,2.0,2.0,1.0,2.25,2.0,1.0,1.41
0.0,7.0,127.92,100.46,1.0,1.0,1.5,1.4,1.25,2.0,1.0,1.08
0.0,9.0,125.74,112.37,1.0,1.0,1.5,1.2,1.75,1.0,1.0,2.26
0.0,7.0,85.82,68.88,1.0,1.0,1.5,1.2,1.5,1.0,1.0,-2.93
0.0,5.0,66.48,66.84,2.0,2.0,2.0,2.0,2.75,2.0,1.0,0.54
1.0,2.0,58.56,63.66,2.0,2.0,1.25,1.8,1.75,2.0,1.0,-1.1
0.0,5.0,73.6,56.75,1.0,1.0,2.0,1.2,2.5,2.0,1.0,-0.93
0.0,7.0,71.11,43.55,2.0,2.0,1.5,3.0,2.5,2.0,1.0,0.15
1.0,6.0,58.38,48.38,3.0,2.0,2.0,2.0,3.0,1.0,1.0,-0.24
0.0,6.0,49.24,48.84,1.0,2.0,1.5,1.0,1.5,1.0,1.0,-0.19
0.0,3.0,52.84,53.35,2.0,2.0,2.0,1.6,2.0,2.0,1.0,-0.36
0.0,5.0,65.94,58.74,2.0,2.0,1.25,1.4,2.0,2.0,1.0,-0.23
0.0,8.0,66.98,76.49,2.0,2.0,2.0,2.0,2.0,1.0,1.0,-0.12
0.0,5.0,149.83,93.95,2.0,1.0,1.75,1.0,1.75,2.0,1.0,-0.55
0.0,6.0,68.2,54.54,2.0,2.0,2.5,1.8,1.67,2.0,1.0,-0.43
0.0,4.0,77.29,60.58,2.0,2.0,1.5,1.0,1.75,2.0,1.0,-1.08
0.0,4.0,76.41,48.29,2.0,2.0,1.0,1.0,2.25,2.0,1.0,-0.66
0.0,2.0,50.55,45.7,2.0,3.0,2.0,1.0,1.75,2.0,1.0,-0.64
1.0,0.0,26.33,18.69,3.0,3.0,1.5,3.4,1.75,1.0,2.0,-0.99
